GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,710.52,1331.38,1005.09,-748.66,-6958.48,431.38,3941.92,-1462.63,45.2,-286.84,-1417.43,-1704.27
5002,750.33,1302.52,1006.03,-717.3,-6967.2,440.79,3954.73,-1493.85,46.11,-230.1,-1447.74,-1677.84
5003,783.45,1291.82,1014.07,-737.18,-6896.69,416.09,3893.61,-1498.39,44.1,-234.84,-1454.29,-1689.13
5004,751.97,1323.19,1014.4,-739.26,-6967.82,419.02,3890.01,-1457.7,44.03,-308.51,-1413.67,-1722.18
5005,800.73,1333.85,994.06,-740.41,-6997.71,418.92,3939.21,-1451.31,43.77,-251.36,-1407.54,-1658.89
5006,743.18,1268.82,1010.49,-721.48,-7028.49,409.28,3929.41,-1412.16,43.5,-388.8,-1368.66,-1757.46
5007,731.98,1282.83,1019.6,-737.74,-7035.71,416,3931.88,-1415.1,43.65,-391.17,-1371.44,-1762.61
5008,734.58,1310.49,984.93,-718.18,-6960.72,420.75,3928.19,-1479.21,44.86,-299.96,-1434.35,-1734.31
5009,804.67,1284.66,987.36,-736.53,-7043.82,422.34,3946.07,-1412.95,44.51,-335.25,-1368.44,-1703.69
5010,796.22,1297.04,988.03,-738.72,-7029.88,420.11,3958.79,-1416.36,44.21,-308.41,-1372.14,-1680.55
5011,752.37,1334.62,1009.12,-734.99,-7021.9,425.39,3917.05,-1447.82,45.41,-318.34,-1402.42,-1720.76
5012,784.95,1282.94,1031.73,-735.98,-6950.13,412.91,3905.35,-1461.83,43.78,-268.24,-1418.05,-1686.29
5013,747.49,1282.3,989.21,-740.33,-6931.09,400.57,3926.12,-1507.82,44.97,-325.74,-1462.84,-1788.58
5014,811.53,1282.43,994.2,-736.66,-6839.82,420.66,3889.18,-1554.79,46.39,-178.48,-1508.4,-1686.88
5015,709.18,1265.72,1006.54,-745.91,-6875.79,427.61,3909.86,-1517.22,44.96,-302.79,-1472.27,-1775.06
5016,770.97,1275.49,1006.42,-727.88,-6914.74,435.81,3913.85,-1503.18,44.54,-240.07,-1458.64,-1698.71
5017,726,1303.2,1020.81,-736.94,-6938.4,427.06,3918.28,-1474.96,43.54,-279.99,-1431.42,-1711.42
5018,742.86,1267.98,999.48,-727.35,-6915.4,418.88,3892.55,-1496.24,45.69,-320.99,-1450.55,-1771.54
5019,765.12,1303.51,1000.73,-739.84,-6847.62,414.31,3899.3,-1540.16,45.85,-204.5,-1494.31,-1698.8
5020,778.98,1279.99,1021.53,-737.7,-6896.25,403.39,3895.41,-1525.56,45.69,-254.65,-1479.87,-1734.52
5021,730.96,1279.84,1035.15,-724.51,-6937.31,430.12,3916.57,-1488.93,45.44,-269.17,-1443.49,-1712.66
5022,736.2,1333.33,1007.18,-742.22,-6872.25,434.86,3909.12,-1558.9,46,-193.78,-1512.9,-1706.68
5023,757.81,1241.74,1002.76,-743.41,-6898.06,407.69,3942.97,-1545.82,43.93,-288.5,-1501.89,-1790.39
5024,770.27,1244.86,986.61,-711.66,-6931.8,419.21,3918.92,-1510.35,45.54,-303.58,-1464.82,-1768.4
5025,769.01,1304.14,1009.7,-736.77,-6895.27,431.13,3968.28,-1570.12,44.05,-149.79,-1526.07,-1675.85
5026,757.46,1280.19,987.42,-732.99,-6890.46,425.56,3949.6,-1534.44,46.64,-223.22,-1487.81,-1711.02
5027,764.45,1274.26,1001.5,-742.86,-6841.78,408.26,3950.67,-1587.34,44.24,-185.51,-1543.1,-1728.61
5028,749.09,1272.77,1000.3,-747.71,-6885.34,428.38,3991.69,-1572.36,44.67,-190.83,-1527.69,-1718.52
5029,766.46,1260.74,1002.96,-731.42,-6854.95,411.63,3935.28,-1581.81,46.11,-209.3,-1535.7,-1745
5030,728.16,1272.42,987.09,-734.16,-6922.04,415.96,3960.65,-1533.83,45.25,-291.91,-1488.58,-1780.49
5031,774.28,1251.44,1030.03,-728.49,-6897.44,419.88,3957.69,-1546.69,44.43,-192.6,-1502.27,-1694.86
5032,744.02,1331.08,1003.07,-744.35,-6847.61,412.06,3888.7,-1555.44,45.22,-213.04,-1510.22,-1723.26
5033,723.39,1299.94,992.7,-746.02,-6917.09,432.7,3929.7,-1505.14,45.92,-284.69,-1459.22,-1743.91
5034,724.63,1284.63,1007.15,-735.9,-6897.03,444.03,3970.18,-1564.4,46.25,-202.31,-1518.15,-1720.47
5035,784.57,1282.12,1037.98,-739.19,-6952.22,424.86,3963.55,-1504.38,44.74,-198.33,-1459.64,-1657.97
5036,737.13,1268.7,1019.41,-723.5,-6949.2,417.17,3970.02,-1529.07,44.87,-260.26,-1484.2,-1744.46
5037,739.92,1305.18,1002.66,-745.84,-6914.72,426.89,3943.58,-1538.49,45.5,-242.34,-1493,-1735.34
5038,759.75,1293.76,1008.21,-734.34,-6862.15,402.36,3923.23,-1566.55,45.84,-209.19,-1520.7,-1729.89
5039,691.32,1315.83,1018.72,-755.4,-6918.28,424.17,3986.34,-1548.75,45.03,-237.3,-1503.72,-1741.02
5040,732.26,1278.75,1015.66,-745.22,-6859.57,424,3947.1,-1581.04,45.54,-207.02,-1535.51,-1742.53
5041,756.94,1277.14,998.17,-751.12,-6931.64,407.26,3965.58,-1508.47,44.34,-277.67,-1464.13,-1741.81
5042,742.21,1313.91,1012.79,-736.96,-6923.22,421.88,3944.76,-1533.45,44.44,-224.64,-1489.01,-1713.64
5043,724.91,1252.3,1007.24,-739.95,-6954.35,445.42,3963.98,-1514.1,44.08,-300.45,-1470.02,-1770.47
5044,736.11,1331.58,1015.12,-741.8,-6991.97,440.08,3968.27,-1493.09,43.87,-242.62,-1449.22,-1691.84
5045,755.14,1299.68,1022.01,-727.89,-7001.73,426.72,3985.08,-1501.17,42.38,-240.99,-1458.79,-1699.78
5046,782.96,1295.18,1021.03,-747.24,-6948.87,420.92,3966.91,-1521.51,43.39,-209.11,-1478.12,-1687.23
5047,744.53,1257.19,999.71,-749.37,-6913.59,419.79,3956.89,-1534.06,43.65,-284.85,-1490.41,-1775.26
5048,783.25,1297.59,986.04,-746.96,-6950.07,415.94,3928.24,-1495.13,43.88,-285.96,-1451.25,-1737.21
5049,733.8,1278.63,1002.45,-739.77,-6956.07,427.94,3958.19,-1506.26,44.1,-294.83,-1462.16,-1757
5050,763.69,1306.66,1021.89,-742.77,-6923.99,412.5,3947.21,-1515.35,45.44,-214.81,-1469.91,-1684.72
5051,731.24,1284.82,1025.53,-747.49,-6923.73,426.91,3985.53,-1556.95,44.52,-217.2,-1512.43,-1729.64
5052,717.6,1318.49,977.63,-738.89,-6898.44,402.33,3967.93,-1572.22,45.09,-253.36,-1527.13,-1780.49
5053,733.44,1293.75,1002.07,-739.59,-6949.6,412.32,3949.78,-1492.04,45.37,-297.83,-1446.67,-1744.5
5054,740.34,1292.46,1017.91,-735.29,-6939.72,420.46,3959.45,-1537.14,45.88,-244.39,-1491.25,-1735.64
5055,720.57,1276.3,1021.19,-745.64,-6919.21,423.74,3953.4,-1530.81,44.03,-269.64,-1486.78,-1756.41
5056,770.43,1328.46,1022.86,-750.68,-6887.1,409.65,3918.06,-1518.46,44.47,-188.32,-1473.99,-1662.3
5057,732.59,1268.68,1014.05,-754.01,-6968.14,417.78,3946.99,-1486.52,45.06,-342.07,-1441.46,-1783.53
5058,727.56,1298.9,1004.3,-731.71,-6940.7,422.15,3943.73,-1485.98,45.27,-275.78,-1440.71,-1716.49
5059,746.61,1310.31,1007.35,-740.44,-6957.23,406.93,3953.17,-1501.07,44.09,-273.3,-1456.98,-1730.28
5060,693.4,1270.78,989.6,-739.82,-6938.59,424.79,3989.9,-1535.77,44.82,-309.95,-1490.95,-1800.9
5061,720.94,1292.71,1015.46,-728.86,-6900.26,426.9,3921.16,-1524.32,46.66,-251.95,-1477.66,-1729.62
