GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
,,,,,,,,,,,,
5043,317.77,888.4,1132.44,-822.41,-7346.64,420.62,4175.11,-1349.07,42.32,-1234.71,-1306.75,-2541.46
5044,321.45,873.72,1111.34,-834.22,-7374.77,415.11,4186.07,-1331.62,44.27,-1301.3,-1287.35,-2588.65
5045,362.62,886.33,1128.24,-829.97,-7368.55,401.14,4140.73,-1318.87,44.58,-1279.45,-1274.29,-2553.74
5046,361.79,900.67,1110.78,-832.87,-7385.18,400.86,4173.89,-1316.81,44.93,-1270.06,-1271.88,-2541.94
5047,329.72,903.31,1147.28,-848.51,-7377.85,411.21,4176.42,-1300.09,42.8,-1258.4,-1257.29,-2515.7
5048,348.39,907.83,1120.95,-827.08,-7393.6,407.55,4192.78,-1329.54,44.21,-1243.18,-1285.33,-2528.52
5049,354.95,897.42,1130.27,-822.41,-7394.04,433.23,4207.45,-1341.47,43,-1193.14,-1298.47,-2491.61
5050,310.39,866.85,1118.94,-838.57,-7337.04,412.46,4187.47,-1363.6,42.51,-1279.52,-1321.08,-2600.6
5051,328.2,917.44,1104.2,-841.24,-7325.17,425.06,4185.41,-1372.58,43.59,-1206.11,-1328.99,-2535.09
5052,333.23,897.78,1125.78,-832.75,-7303.6,420.43,4170.31,-1381.31,44.37,-1188.83,-1336.93,-2525.77
5053,349.24,903.93,1122.92,-841.14,-7293.76,409.25,4196.03,-1388.41,42.72,-1153.53,-1345.69,-2499.22
5054,311.15,897.41,1117.79,-839.03,-7286.26,434.14,4198.11,-1419.1,43.54,-1166.67,-1375.56,-2542.24
5055,349.04,874.16,1112.77,-829.81,-7325.5,419.23,4189.46,-1399.97,44.58,-1210.66,-1355.39,-2566.05
5056,357.41,926.42,1114.75,-816.38,-7301.53,412.2,4144.57,-1379.15,43.11,-1162.56,-1336.05,-2498.61
5057,294.62,874.67,1130.85,-822.98,-7310.99,428.37,4187.53,-1387.75,44.58,-1217.93,-1343.17,-2561.1
5058,325.05,871.37,1127.89,-810.98,-7264.47,419.01,4143.11,-1386.22,46.37,-1189.01,-1339.85,-2528.87
5059,312.88,906.95,1084.94,-851.39,-7234.21,410.77,4105.6,-1363.97,41.91,-1264.47,-1322.06,-2586.53
5060,314.8,844.46,1116.12,-832.16,-7374.86,419.98,4198.8,-1344.79,43.12,-1312.86,-1301.67,-2614.53
5061,335.18,846.75,1109.24,-829.89,-7286.82,408.31,4156.31,-1366.02,43.55,-1260.92,-1322.47,-2583.39
