GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,327.48,883.75,1113.14,-850.17,-7444.03,426.44,4251.56,-1251.26,40.89,-1291.83,-1210.37,-2502.2
5002,360.43,889.47,1122.38,-855.63,-7470.97,426.46,4260.29,-1267.46,40.34,-1267.58,-1227.12,-2494.7
5003,308.4,924.72,1143.67,-857.79,-7496.51,422.95,4280.55,-1267.86,41.04,-1274.01,-1226.82,-2500.83
5004,333.59,898.28,1106.34,-839.93,-7495.49,417.44,4289.35,-1266.45,42.41,-1290.41,-1224.04,-2514.44
5005,364.75,941.67,1108.6,-866.42,-7420.89,417.86,4239.49,-1294.12,41.98,-1214.94,-1252.14,-2467.08
5006,333.16,908,1110.56,-848.88,-7480.9,427.61,4276.49,-1243.14,41.18,-1273.97,-1201.97,-2475.94
5007,323.26,908.6,1105.98,-849.34,-7452.84,422.89,4275.4,-1292.42,42.23,-1266.06,-1250.19,-2516.25
5008,367.48,890.53,1106.13,-841.5,-7423.15,413.89,4259.16,-1309.69,42.33,-1227.46,-1267.35,-2494.82
5009,332.14,910.77,1093.98,-860.75,-7416.17,414.45,4285.43,-1305.23,42.75,-1240.15,-1262.48,-2502.63
5010,314.55,906.03,1132.68,-852.53,-7511.95,418.04,4271.33,-1241.88,41.56,-1321.84,-1200.32,-2522.17
5011,351.38,922.32,1133.08,-852.81,-7461,422.75,4228.8,-1253.16,43.08,-1255.5,-1210.08,-2465.58
5012,365.76,898.21,1145.13,-857.58,-7438.33,398.2,4233.08,-1275.55,42.99,-1255.53,-1232.56,-2488.09
5013,306.73,899.41,1142.4,-841.4,-7553.41,419.86,4317.98,-1250.74,42.22,-1308.43,-1208.51,-2516.94
5014,306.81,904.76,1124.94,-875.45,-7433.65,406.55,4239.75,-1278.5,42.13,-1326.29,-1236.37,-2562.66
5015,336.85,909.14,1123.24,-837.75,-7519.37,423.94,4290.11,-1256.01,41.87,-1273.84,-1214.14,-2487.98
5016,341.24,883.93,1126.44,-827.74,-7534.7,410.87,4269.63,-1228.27,42,-1330.33,-1186.27,-2516.6
5017,332.05,904.06,1132.44,-856.46,-7581.42,416.88,4284.67,-1189.57,42.67,-1367.78,-1146.9,-2514.67
5018,346.13,911.15,1116.5,-866.05,-7507.82,414.96,4263.5,-1233.31,41.38,-1321.63,-1191.93,-2513.56
5019,325.74,954.29,1118,-866.05,-7443.16,416.93,4270.55,-1285.74,41.14,-1223.7,-1244.6,-2468.29
5020,333.09,904.42,1131.82,-861.81,-7482.36,413.46,4287.15,-1273.03,41.55,-1274.21,-1231.48,-2505.69
5021,329.38,901.33,1130.7,-854.11,-7447.41,417.03,4262.6,-1272.41,43.76,-1260.48,-1228.64,-2489.12
5022,330.68,893.4,1119.38,-851.03,-7437.59,415.15,4278.8,-1302.96,42.3,-1251.21,-1260.66,-2511.86
5023,343.75,870.65,1101.19,-831.17,-7497.5,442.57,4272.06,-1259.31,42.89,-1298.46,-1216.42,-2514.88
5024,321.96,920.43,1100.41,-856.96,-7487.19,417.42,4289.68,-1250.72,42.44,-1294.26,-1208.28,-2502.54
5025,333.55,920.12,1104.79,-870.05,-7533.17,421.61,4321.74,-1248.26,41.15,-1301.4,-1207.11,-2508.51
5026,356.05,897.18,1108.38,-837.97,-7544.82,411.82,4253.42,-1202.58,41.72,-1355.94,-1160.86,-2516.8
5027,328.97,854.12,1113.91,-874.37,-7511.18,432.92,4317.58,-1267.15,42.4,-1338.05,-1224.75,-2562.81
5028,311.84,890.84,1111.93,-853.74,-7490.92,417.22,4254.8,-1239.34,43.46,-1358.04,-1195.88,-2553.92
5029,329.57,920.91,1120.3,-840.89,-7478.46,427.53,4291.31,-1293.17,43.1,-1229.73,-1250.07,-2479.8
5030,326.54,907.9,1099.63,-846.29,-7496.19,425.67,4277.4,-1262.89,42.82,-1305.33,-1220.08,-2525.41
5031,334.93,923.09,1113.31,-853.73,-7520.86,423.52,4305.07,-1265.28,42.49,-1274.66,-1222.8,-2497.46
5032,324.22,916.42,1119.58,-854.11,-7493.72,415.85,4278.2,-1256.78,41.93,-1293.56,-1214.85,-2508.41
5033,341.75,905.2,1118.87,-853.36,-7454.03,432.04,4241.21,-1271.95,42.16,-1268.31,-1229.79,-2498.1
5034,321.65,897.94,1121.29,-847.91,-7428.26,426.53,4238.22,-1295.19,41.04,-1270.54,-1254.14,-2524.69
5035,349.74,873.18,1130.8,-872.67,-7439.09,418.73,4266.8,-1314.47,40.73,-1272.52,-1273.74,-2546.26
5036,366.29,919.52,1109.53,-849.92,-7456.82,396.88,4255.4,-1283.3,42.41,-1259.12,-1240.89,-2500.01
5037,335.58,870.04,1097.59,-862.79,-7476.14,425.47,4278.92,-1247.48,42.59,-1331.33,-1204.89,-2536.22
5038,312.7,889.46,1122.22,-862.47,-7470.93,432.11,4237.98,-1233.05,41.65,-1338.95,-1191.39,-2530.34
5039,329.16,904.49,1134.43,-848.87,-7485.68,435.41,4260.44,-1240.75,41.89,-1270.62,-1198.86,-2469.47
5040,335.62,910.71,1128.43,-857.85,-7470.17,411.38,4257.87,-1265.18,42.05,-1284.01,-1223.13,-2507.14
5041,327.94,858.01,1140.63,-851.82,-7480.91,430.76,4268.53,-1251.09,42.4,-1306.86,-1208.68,-2515.54
5042,324.98,914.87,1141.49,-851.39,-7518.91,434.19,4302.91,-1260.33,42.99,-1251.87,-1217.34,-2469.2
5043,320.81,923.48,1117.15,-852.82,-7492.78,416.52,4253.97,-1232.56,41.58,-1313.67,-1190.98,-2504.65
5044,342.72,882.24,1119.29,-856.92,-7414.31,425.19,4231.08,-1284.27,42.83,-1270.7,-1241.44,-2512.14
5045,326.55,864.23,1117.38,-842.22,-7501.93,423.26,4308.27,-1259.19,41.58,-1304.46,-1217.61,-2522.07
5046,331.17,864.78,1123.25,-855.73,-7473.78,421.16,4284.67,-1279.77,42.43,-1304.49,-1237.35,-2541.84
5047,318.3,921.66,1127.17,-864.9,-7464.35,410.02,4267.2,-1288.22,41.52,-1284.89,-1246.69,-2531.58
5048,379.72,885.02,1139.69,-865.88,-7496.94,414.83,4280.91,-1267.25,41.9,-1262.66,-1225.35,-2488.01
5049,338.88,880.92,1109.85,-830.38,-7481,431.23,4262.71,-1258.01,42.16,-1287.79,-1215.85,-2503.64
