GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,1056.71,2922.41,3474.47,-2840.82,-25038.97,1282.84,15095.01,-5375.93,117.29,-4048.34,-5258.64,-9306.97
5002,1065.81,3000.47,3485.75,-2858.42,-25215.22,1246.7,15112.36,-5243.42,114.25,-4162.56,-5129.16,-9291.72
5003,1068,2934.83,3454.08,-2841.53,-25147.11,1294.47,15012.69,-5202.56,115.38,-4224.57,-5087.17,-9311.74
5004,1072.27,2957.57,3491.53,-2828.86,-25098.98,1301.31,15005.51,-5283.34,115.09,-4099.65,-5168.25,-9267.9
5005,1099.2,2856.28,3477.53,-2843.12,-25217.17,1290.94,15099.72,-5158.33,113.89,-4236.62,-5044.44,-9281.06
5006,1086.3,2954.3,3481.45,-2912.45,-25212.92,1279.71,15128.17,-5211.53,114.52,-4195.45,-5097.01,-9292.45
5007,1040.52,2925.86,3484.04,-2883.03,-25236.21,1272.84,15072.94,-5154.31,113.38,-4323.05,-5040.93,-9363.98
5008,1110.77,2922.67,3464.86,-2829.76,-25015.83,1301.51,15036.64,-5350.53,112.37,-4009.14,-5238.15,-9247.29
5009,1043.33,2883.61,3480.16,-2820.81,-25097.01,1306.23,15131.54,-5348.89,116.81,-4072.95,-5232.09,-9305.03
5010,1099.78,2870.77,3460.74,-2855.4,-25018.65,1287.9,15022.55,-5291.08,113.33,-4132.31,-5177.75,-9310.06
5011,1115.79,2967.36,3493.32,-2835.54,-25195.72,1282.02,15076.61,-5226.95,116.11,-4096.16,-5110.84,-9207
5012,1123.1,3023.51,3468.83,-2909.32,-24992.79,1291.06,15012.15,-5319.93,112.76,-3983.46,-5207.17,-9190.63
5013,1117.56,2940.48,3507.61,-2866.54,-24981.2,1278.57,15068.59,-5409.64,115.78,-3934.93,-5293.86,-9228.79
5014,1129.56,2978.64,3504.89,-2881.53,-25247.66,1290.64,15174.38,-5264.7,113.68,-4051.08,-5151.02,-9202.1
5015,1069.94,2970.86,3471.54,-2847.95,-25235.84,1320.3,15148.31,-5259.22,113.2,-4102.85,-5146.02,-9248.87
5016,1118.27,2845.96,3503.05,-2824.78,-25126.42,1279.39,15059.18,-5250.54,115.67,-4145.36,-5134.88,-9280.24
5017,1053.66,2995.53,3452.65,-2840.63,-25075.81,1276.82,15087.34,-5293.51,116.77,-4050.44,-5176.75,-9227.19
5018,1069.56,3019.66,3483.18,-2854.69,-25068.97,1299.22,15174.56,-5399.8,114.34,-3877.49,-5285.45,-9162.94
5019,1055.22,2995.71,3460.49,-2862.53,-25013.26,1279.01,15103.67,-5367.94,116.71,-3981.67,-5251.22,-9232.9
5020,1090.15,2937.42,3444.36,-2831.95,-25109.35,1285.98,15125.19,-5314.43,114.97,-4058.19,-5199.45,-9257.65
