GENERALIZED BORN:,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5001,1119.63,2990.15,3482.55,-2868.92,-24820.36,1289.21,14986.05,-5586.15,115.27,-3821.69,-5470.88,-9292.57
5002,1100.65,2956.98,3459.83,-2850.57,-24690.61,1278.32,14930.82,-5676.3,114.79,-3814.58,-5561.51,-9376.09
5003,1078.99,3006.07,3465.71,-2848.69,-24864.6,1283.4,14940.89,-5546.92,115.84,-3938.24,-5431.07,-9369.31
5004,1109.54,2913.66,3457.21,-2864.36,-24872.83,1261.13,14974.08,-5544.52,115.87,-4021.57,-5428.65,-9450.22
5005,1083.05,2933.87,3490.81,-2872.63,-24750.01,1270.48,14898.04,-5617.97,116.64,-3946.38,-5501.34,-9447.72
5006,1125.52,2906.06,3447.98,-2875.33,-24629.7,1284.7,14903.11,-5723.13,114.8,-3837.65,-5608.34,-9445.98
5007,1102.41,2882.88,3528.48,-2831.86,-24668.99,1269.95,14935.15,-5707.49,117.49,-3781.98,-5590,-9371.97
5008,1072.62,2931.21,3482.23,-2866.76,-24705.18,1297,14910.94,-5665.29,114.29,-3877.95,-5551.01,-9428.95
5009,1098.02,2878.08,3465.96,-2867.6,-24845.68,1299.48,14967.17,-5549.28,114.91,-4004.56,-5434.38,-9438.93
5010,1091.86,2897.56,3443.32,-2838.16,-24783.46,1307.01,14963.53,-5622.07,112.01,-3918.33,-5510.06,-9428.39
5011,1092.24,2931.77,3452.96,-2855.04,-24837.12,1285.64,14941.79,-5540.15,113.67,-3987.76,-5426.48,-9414.24
5012,1132.96,2949.35,3469.31,-2847.03,-24693.71,1238.41,14923.49,-5619.45,114.48,-3827.22,-5504.97,-9332.19
5013,1063.13,2896.98,3505.58,-2837.44,-24848.22,1283.26,14946.81,-5539.78,117.16,-3989.91,-5422.62,-9412.53
5014,1131.38,2958.43,3445,-2863.82,-24762.1,1264.46,14915.97,-5597.25,118.72,-3910.68,-5478.53,-9389.21
5015,1045.34,2950.83,3469.62,-2864.08,-24846.57,1275.27,14925.25,-5575.99,116.32,-4044.33,-5459.66,-9504
5016,1112.53,2927.79,3484.38,-2854.12,-24762.53,1305.12,14947.16,-5625.13,115.82,-3839.67,-5509.31,-9348.98
5017,1056.52,2886.57,3457.2,-2861.67,-24636.93,1293.47,14954.19,-5769.71,117.09,-3850.65,-5652.62,-9503.27
5018,1119.81,2898.3,3482.68,-2800.69,-24730.41,1301.48,14921.09,-5665.31,116.42,-3807.74,-5548.89,-9356.63
5019,1021.4,2896.69,3500.11,-2858.23,-24670.36,1297.78,14998.96,-5712.07,114.85,-3813.64,-5597.22,-9410.86
5020,1059.99,2877.21,3462.07,-2848.62,-24693.6,1286.07,15016.98,-5729.29,118.16,-3839.89,-5611.13,-9451.03
5021,1111.6,2952.94,3476.42,-2836.54,-24634.67,1270.27,14908.77,-5713.16,118.58,-3751.2,-5594.57,-9345.77
